,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10a,Q10b,Q10c,Q10d,Q10e,Q11,Q12a,Q12b,Q12c,Q12d,Q12e,Q13,Q14a,Q14b,Q14c,Q14d,Q14e,Q15,Q16a,Q16b,Q16c,Q16d,Q16e,Q17,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q19g,Q19h,Q19i,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q21a,Q21b,Q21c,Q21d,Q21e,Q21f,Q21g,Q21h,Q21i,Q21j,Q22a,Q22b,Q22c,Q22d,Q22e,Q22f,Q22g,Q23a,Q23b,Q23c,Q23d,Q23e,Q23f,Q23g,Q23h,Q23i,Q23j,Q24a,Q24b,Q24c,Q24d,Q24e,Q24f,Q24g,Q24h,Q25a,Q25b,Q25c,Q25d,Q25e,Q25f,Q25g,Q25h,Q25i,Q25j,Q26a,Q26b,Q26c,Q26d,Q26e,Q26f,Q26g,Q26h,Q26i,Q26j,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35a,Q35b,Q35c,Q35d,Q36a,Q36b,Q36c,Q36d,Q36e,Q36f,Q36g,Q36h,Q36i,Q36j,Q37,Q38a_1,Q38b_1,Q38c_1,Q38d_1,Q38e_1,Q38f_1,Q38g_1,Q38h_1,Q38i_1,Q38j_1,Q38k_1,Q38l_1,Q38m_1,Q38n_1,Q38o_1,Q38p_1,Q38a_2,Q38b_2,Q38c_2,Q38d_2,Q38e_2,Q38f_2,Q38g_2,Q38h_2,Q38i_2,Q38j_2,Q38k_2,Q38l_2,Q38m_2,Q38n_2,Q38o_2,Q38p_2,SOURCE
12775,Israel,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
28057,Thailand,1,1,1,1,19,2,2,4,5,3,4,3,1,4,4,3,3,3,1,0,0,1,0,0,4,5,4,4,5,5,4,5,5,5,4,4,4,,,,4,4,,4,3,3,4,4,3,5,5,5,4,2,3,3,3,5,3,5,5,3,4,4,3,3,6,3,4,1,3,4,3,2,2,3,1,1,1,1,1,1,1,1,5,5,5,1,1,2,1,4,1,2,3,3,4,4,4,2,4,4,3,3,5,2,2,1,1,2,2,,4,4,,,5,,5,,,,,,,,2,5,3,5,4,2,4,4,2,3,3,4,2,4,2,4,3,5,2,5,4,1,5,3,2,3,5,5,5,4,4,5,3,en
14842,Jordan,1,2,1,4,20,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,3,5,1,4,3,4,,3,1,3,7,7,1,3,,,3,3,3,3,3,3,3,3,3,3,2,1,3,3,1,3,3,4,2,1,4,3,4,2,2,,2,,3,3,3,3,2,2,2,2,1,2,2,3,2,2,1,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,en
25833,Slovakia,1,1,1,3,22,2,2,3,,4,4,4,4,,,,,3,5,0,0,0,0,1,5,4,4,3,,4,4,2,2,,3,1,,,,2,4,,,5,2,4,3,4,4,5,5,5,5,5,5,5,5,4,2,4,4,4,4,4,4,4,3,3,6,3,4,3,3,1,1,6,4,3,4,4,4,4,4,4,3,3,1,4,4,1,1,2,2,1,3,4,4,4,4,4,4,4,4,4,3,1,2,1,2,,2,,4,4,4,4,5,3,2,5,5,5,5,5,5,5,1,4,4,1,4,4,2,4,2,1,2,2,1,2,2,5,4,5,1,4,4,1,2,2,5,1,5,5,5,2,1,4,1,en
15836,Libya,1,1,1,3,20,2,2,3,1,1,1,1,2,1,1,1,1,1,2,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
26051,Slovenia,1,1,1,2,23,1,2,4,,,,4,1,4,,,,4,1,1,1,1,0,0,1,4,4,4,4,4,5,4,4,4,5,,,,,4,4,4,,3,3,3,4,3,3,3,5,5,5,5,5,5,5,4,3,4,4,2,4,4,4,3,6,4,5,6,6,4,4,1,1,6,1,3,3,3,1,1,3,3,3,3,4,3,3,2,2,3,3,4,1,4,2,2,1,2,3,2,5,4,1,2,5,1,2,,1,1,1,4,4,5,,,,,,,,,,,2,5,4,1,1,5,2,1,1,1,3,1,1,5,1,5,5,5,3,3,3,4,2,1,3,1,5,1,3,5,1,5,4,en
19910,Pakistan,1,2,1,,24,1,2,4,2,2,2,2,1,4,2,2,2,2,1,1,0,0,0,0,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
22308,Poland,1,1,1,2,24,2,2,4,4,4,3,3,4,4,4,4,4,4,1,1,0,1,0,0,3,4,4,4,4,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,3,4,,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,4,5,4,5,8,7,8,8,6,8,8,8,3,2,2,3,3,,,2,3,3,3,3,4,4,4,4,4,4,3,4,2,1,2,1,2,,2,,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,5,5,5,4,4,5,3,5,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,en
2336,Bosnia and Herzegovina,1,1,1,2,22,1,2,3,1,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
5550,Croatia,1,1,1,2,20,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,6,3,4,2,2,2,2,1,3,3,3,3,3,3,1,5,4,4,3,1,3,1,3,1,2,3,3,5,4,3,5,4,2,5,5,3,1,2,1,1,1,2,,4,5,3,5,4,4,4,4,4,4,4,4,4,4,2,5,3,3,5,2,4,3,1,2,1,3,1,4,4,2,4,5,1,5,5,1,4,4,5,4,1,5,4,4,4,4,2,en
20157,Pakistan,1,1,3,3,20,2,2,,,,,,2,,,,,,2,0,0,0,0,1,1,3,2,4,4,4,4,,,,,,,3,,,3,,,,,,,,,3,4,1,1,1,4,1,5,1,3,2,3,1,1,1,1,1,3,3,3,6,1,1,1,1,2,1,1,12,12,12,12,12,12,1,3,2,1,4,5,5,4,3,5,3,2,1,4,3,2,4,5,4,1,1,5,5,,1,1,1,2,,3,3,3,3,,,,,,,,,,,2,3,2,3,1,1,2,2,4,1,1,1,1,2,1,4,3,5,2,5,1,1,5,1,5,1,1,5,5,2,1,4,3,en
22750,Poland,2,1,1,3,19,2,2,5,3,2,2,3,1,5,3,2,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
18725,New Zealand,1,1,1,2,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
5458,Croatia,1,1,1,2,22,1,2,3,3,2,4,4,1,4,3,1,4,4,1,1,1,1,0,0,1,4,4,4,4,4,4,4,4,4,4,3,,,,2,4,4,,2,3,3,3,3,3,5,5,5,5,1,5,5,5,3,3,4,4,4,3,4,3,2,6,5,5,1,1,4,4,1,1,5,1,1,6,1,1,1,1,1,3,3,3,4,4,3,3,3,3,3,3,2,3,3,3,3,4,3,3,2,4,3,,1,2,,2,,4,4,3,3,2,4,1,2,4,3,3,2,3,3,1,4,4,1,2,4,4,1,1,,1,1,1,,1,3,5,5,1,5,4,2,4,1,4,,5,5,3,,1,1,3,en
27827,Sweden,1,1,1,2,25,2,2,5,5,5,5,5,2,,,,,,2,0,0,1,0,0,3,5,4,5,5,5,2,5,5,5,5,5,5,,,,,,,5,3,3,5,5,5,5,5,5,5,1,5,5,5,5,2,5,5,5,5,5,5,5,4,1,,,1,2,1,1,1,2,1,1,1,3,1,1,3,1,2,2,2,4,4,4,1,3,3,4,1,2,2,3,3,2,3,2,2,2,3,1,2,1,2,,2,,3,5,3,5,,,,,,,,,,,,4,4,1,3,,1,1,1,1,1,1,1,,2,5,5,5,2,5,5,5,1,3,5,1,5,4,1,,2,5,1,en
15380,Kyrgyzstan,1,1,1,1,19,4,2,4,4,4,4,4,2,4,4,4,4,4,2,0,0,0,0,1,4,4,4,3,4,4,3,3,4,4,4,5,4,3,4,4,4,3,4,3,2,1,5,,5,3,4,3,1,2,5,3,4,1,4,5,3,4,3,2,2,3,5,4,4,2,3,5,4,4,3,2,3,10,9,9,7,7,9,3,2,4,2,4,3,1,4,1,4,2,1,4,2,3,4,1,3,1,1,3,3,3,2,2,2,,2,,3,1,2,5,4,4,5,4,3,5,3,,1,3,2,2,4,1,3,3,3,5,1,3,3,3,2,2,4,3,2,4,3,4,2,4,4,4,2,2,3,4,1,3,3,3,2,en
20779,Poland,1,2,2,3,43,1,2,3,2,,4,4,5,3,,,4,4,5,0,0,1,1,0,4,4,4,4,4,3,4,3,2,3,4,4,4,4,3,3,4,3,3,4,3,3,3,2,2,3,5,5,3,5,3,3,3,3,2,4,3,2,4,4,3,2,3,2,4,6,3,3,2,2,1,2,1,1,7,7,1,3,3,1,3,3,1,3,3,2,1,1,4,1,2,2,2,2,5,5,3,2,3,4,4,1,3,1,1,4,2,,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,4,2,4,2,2,3,2,2,2,3,2,1,3,2,2,4,5,1,5,4,5,4,4,5,4,5,5,5,4,3,3,2,en
27260,South Africa,1,1,1,3,20,2,2,,,3,3,4,5,,,,4,4,4,0,0,0,1,0,4,4,2,5,5,5,5,2,3,4,4,4,4,4,,4,4,4,,5,3,2,3,4,4,4,3,5,3,1,4,1,5,5,5,4,3,4,3,4,3,2,6,2,4,2,4,5,1,1,1,6,1,1,1,1,1,,1,6,3,5,4,2,1,4,1,4,1,1,4,1,2,4,1,1,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
20959,Poland,,1,2,2,23,1,2,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
7824,Egypt,1,1,1,,23,1,2,4,3,3,2,2,3,3,3,2,1,1,2,0,0,1,0,0,3,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,3,2,2,3,4,3,3,4,3,2,1,4,4,1,5,2,3,2,2,3,3,2,3,2,3,3,6,2,3,5,4,2,1,1,1,6,1,12,12,12,12,12,10,10,3,2,3,3,3,3,3,3,3,3,1,1,1,3,1,3,2,2,2,1,3,3,,3,2,,2,,1,1,1,5,2,2,2,2,2,2,2,2,2,2,1,4,3,4,2,5,3,3,3,3,1,3,1,4,2,3,3,4,2,5,3,3,3,2,5,3,1,3,3,4,1,3,2,en
14034,Italy,1,2,1,2,25,2,2,3,3,3,,,1,3,3,3,,,1,0,0,0,0,1,5,3,,,4,3,3,3,2,,3,,3,,,,4,,4,4,2,3,3,3,4,3,5,5,5,5,5,5,5,3,5,4,4,3,3,5,3,2,3,3,4,6,1,1,1,2,1,6,1,1,3,3,12,4,4,1,3,3,3,3,3,3,3,3,3,3,1,2,3,2,2,2,2,3,3,2,4,3,,3,1,4,2,,3,3,,,4,5,5,5,5,4,5,5,5,5,2,3,4,5,4,5,2,2,1,,,1,1,3,3,4,4,4,1,1,1,1,3,3,5,,,5,5,3,3,1,1,en
5373,Croatia,1,1,1,2,21,1,2,4,,4,5,,4,4,,4,5,,4,0,0,0,0,1,5,4,4,4,4,4,3,4,4,,4,3,,,,,4,,,5,4,1,4,3,3,4,5,4,4,5,3,4,5,4,3,4,4,4,5,5,4,4,6,4,6,6,5,5,4,1,1,6,1,1,3,3,1,1,3,3,4,4,3,3,3,3,2,4,1,4,2,1,3,3,4,4,3,4,4,2,3,2,4,1,2,,2,,4,3,4,5,4,5,4,5,5,5,5,1,3,5,2,4,3,2,2,4,2,2,2,1,3,2,1,4,1,4,4,4,2,4,3,4,3,2,4,1,5,4,3,4,1,3,3,en
4894,Chile,1,1,1,3,,1,2,2,5,,,3,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,es
23440,Portugal,1,2,2,2,51,2,2,5,,,,,1,5,,,,,1,1,0,0,0,0,1,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,2,3,5,5,4,4,5,4,5,5,4,4,5,5,5,5,5,4,5,6,6,5,6,4,3,3,2,2,4,1,3,7,1,1,2,3,5,2,4,3,3,2,4,1,3,1,3,2,2,3,2,2,2,3,3,1,1,4,1,1,3,1,1,2,,5,5,4,5,1,1,5,5,4,5,4,4,4,3,2,3,3,4,3,4,2,2,2,3,1,2,2,3,2,2,4,4,1,1,2,1,3,4,5,3,4,4,5,2,3,4,1,pt
12191,Indonesia,1,2,1,4,19,2,2,3,4,3,3,2,4,3,3,3,2,2,4,0,1,1,1,0,4,4,3,4,4,,5,,,,,,,,,,,,,,,,,,,3,4,4,3,2,5,3,2,2,3,4,3,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
19516,Oman,1,1,1,2,24,2,2,2,4,3,2,3,2,3,2,2,3,3,2,0,0,0,0,1,1,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
30561,United States of America,1,1,1,3,20,2,2,,3,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
16,Afghanistan,,,,,,,2,4,2,2,4,4,1,3,2,2,3,2,1,0,1,0,1,0,2,3,3,5,4,3,2,3,3,2,3,3,2,2,3,2,5,3,3,5,2,4,3,3,2,1,1,3,3,1,5,5,4,1,3,4,3,2,2,3,2,1,4,1,3,6,2,2,2,1,1,1,1,1,1,1,1,3,3,1,1,4,5,3,5,3,1,2,3,5,5,5,2,3,5,5,4,5,1,1,5,1,5,2,1,1,2,,5,5,5,5,3,4,5,3,5,,,,,,2,5,2,4,3,5,1,1,1,3,1,2,1,5,3,4,3,5,1,5,5,2,4,3,5,3,4,5,5,5,1,1,1,en
1722,Bangladesh,1,1,1,4,22,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
6564,Ecuador,1,1,1,2,24,1,2,2,1,5,4,4,1,1,1,4,4,4,1,0,0,1,1,0,4,,,,,,5,3,2,2,5,4,1,2,,,3,3,1,5,2,5,3,2,2,3,5,5,5,1,5,5,4,4,3,5,5,3,3,4,4,4,6,2,4,1,2,4,1,4,4,6,1,3,6,12,1,3,12,1,4,4,5,5,4,4,3,2,3,3,3,4,3,2,5,5,4,5,5,5,2,2,3,1,2,,1,1,1,4,1,,3,4,4,5,5,5,5,5,5,5,2,3,4,2,2,5,4,4,2,2,3,5,1,3,1,5,5,4,2,2,2,2,3,4,3,3,4,5,5,2,4,2,2,es
15736,Latvia,1,1,3,2,52,2,2,4,3,4,4,4,4,4,,,4,4,1,1,1,1,1,0,3,4,3,4,3,4,2,4,3,3,4,4,,,,4,3,4,3,4,2,4,4,4,4,3,5,5,5,4,5,5,5,4,4,5,5,3,4,5,4,3,6,5,5,1,3,1,2,1,1,6,1,3,7,12,1,1,12,12,3,3,3,3,2,3,1,1,2,2,1,1,2,1,2,1,3,4,1,2,3,3,4,1,1,1,2,,3,4,3,3,,,,,,,,,,,2,4,4,3,3,4,5,1,2,2,1,3,1,3,2,3,3,5,2,5,,1,5,1,5,2,3,5,3,3,2,3,2,en
16882,Mexico,1,1,1,2,23,1,2,5,,,4,4,1,5,,,4,5,1,1,1,1,1,0,1,4,3,5,5,5,4,,5,4,5,,4,3,,2,3,4,3,5,1,3,1,1,3,2,5,5,5,5,5,5,5,3,4,5,5,4,1,5,4,1,6,1,6,6,1,4,2,2,1,6,4,3,6,6,1,3,6,3,4,3,3,3,3,4,2,2,3,3,5,4,3,3,4,3,5,2,3,2,5,2,,3,2,,2,,5,5,,3,5,5,5,5,5,5,5,5,5,5,2,4,2,5,1,4,4,1,1,1,1,1,1,1,1,3,5,5,1,5,2,2,4,3,1,1,1,5,4,2,1,3,2,es
5957,Croatia,2,1,1,2,22,1,2,5,,5,3,4,1,5,5,4,3,4,1,1,1,1,1,0,1,4,4,4,4,4,3,4,2,3,4,4,4,,5,5,5,,,4,4,2,4,4,4,5,5,5,5,5,5,5,5,4,3,4,4,4,5,5,5,4,4,3,6,6,4,4,4,1,1,6,1,3,6,1,1,1,1,3,4,4,4,4,4,4,3,3,4,5,3,2,4,4,3,2,4,1,4,5,2,5,,1,2,,1,1,2,3,2,2,3,4,4,4,4,4,4,4,4,4,1,5,5,1,2,4,1,1,2,1,2,4,1,2,2,4,4,5,4,4,4,2,1,1,4,1,4,4,4,2,2,2,4,en
26829,Slovenia,1,1,1,2,24,2,2,3,2,2,4,4,1,3,,,,3,1,0,0,1,0,0,3,5,4,5,4,3,4,4,3,3,4,3,3,3,3,3,3,4,3,4,2,3,4,4,4,4,4,5,4,1,2,2,5,5,4,4,4,4,3,4,4,3,6,4,6,6,4,4,2,1,1,4,1,3,3,1,1,3,1,3,4,4,4,3,4,3,2,2,3,3,1,1,2,2,4,1,2,2,3,4,4,1,2,1,2,,2,,2,3,3,4,3,5,5,4,4,4,4,4,4,4,1,4,4,3,3,3,3,1,1,2,2,1,1,3,1,3,4,5,2,3,4,5,4,2,3,3,4,4,5,3,1,5,3,en
23085,Portugal,1,1,1,4,,2,2,2,4,4,2,,1,2,,,,,1,0,0,0,0,1,5,5,5,3,5,3,5,3,,,5,2,4,2,,,,4,,5,1,5,1,1,2,3,5,5,4,5,4,5,5,3,4,4,4,4,5,5,4,5,5,1,6,3,3,6,5,1,1,6,1,3,6,3,1,1,3,3,2,3,3,4,4,5,1,2,3,2,5,2,5,5,1,2,3,4,2,2,3,3,,1,1,1,2,,5,3,,4,,5,5,,,,4,,,,1,4,5,2,1,4,4,4,1,1,,5,1,3,1,5,5,5,1,5,4,1,4,4,5,1,,5,4,3,1,5,2,pt
6632,Ecuador,,1,1,2,,2,2,4,5,2,3,3,1,,,,,,,1,0,0,1,0,1,4,4,4,4,2,4,,3,1,4,4,,,,,,,,5,3,3,4,4,3,3,5,3,3,3,4,2,4,4,4,5,5,5,5,5,5,5,6,2,3,6,3,1,3,1,1,6,1,3,12,12,12,12,12,12,4,4,4,3,3,2,1,3,1,1,1,1,3,3,2,1,2,1,4,4,1,1,1,1,1,4,2,,1,1,1,4,2,5,4,5,5,5,5,5,5,1,2,3,5,1,1,5,1,2,1,1,1,1,1,4,3,4,5,5,1,5,5,1,5,2,2,5,5,5,5,4,1,4,1,es
9858,Hungary,1,1,3,2,26,2,2,3,,,4,3,4,3,,,4,3,4,1,0,1,0,0,3,4,3,2,3,4,2,4,3,3,3,2,2,,2,3,2,3,2,4,4,2,4,3,2,3,5,5,4,2,5,5,5,5,4,5,4,4,4,5,4,3,1,2,2,1,2,3,3,2,1,5,1,1,1,1,1,1,1,1,2,2,2,4,3,4,1,3,4,4,3,2,2,2,2,2,3,3,1,3,2,2,5,1,1,1,2,,1,3,4,2,4,1,1,1,1,4,4,1,4,4,2,4,2,4,2,3,4,1,1,5,4,1,1,3,1,5,3,5,1,5,5,1,4,1,5,5,5,5,5,3,1,4,1,en
25990,Slovenia,1,1,1,2,23,1,2,4,,,,4,1,3,,,,,1,1,0,0,0,0,1,3,4,4,3,,3,3,3,3,3,3,3,3,3,2,3,,,5,1,5,2,2,2,5,5,5,5,5,5,5,5,5,3,3,2,2,3,3,3,1,6,3,3,1,2,1,2,1,1,5,1,1,12,12,1,1,1,1,1,2,1,3,3,4,1,1,3,5,1,1,2,2,1,1,3,1,1,2,2,5,4,1,2,,2,,3,2,3,3,2,5,,,,4,,,,,1,5,3,2,4,4,1,1,2,1,1,3,1,2,1,4,2,5,1,5,5,1,2,1,1,1,5,5,5,2,1,4,2,en
14531,Italy,1,1,1,2,22,2,2,2,2,2,2,1,3,2,2,2,2,1,2,0,1,1,0,0,3,1,2,2,2,2,5,2,4,4,4,4,4,4,4,4,5,5,5,3,3,,4,4,3,3,3,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,1,1,3,3,2,4,4,2,2,2,2,2,5,5,1,2,1,1,4,2,,4,4,2,4,4,4,4,1,5,4,4,4,4,4,2,5,3,3,3,5,2,4,1,1,1,1,1,3,3,3,4,5,1,1,2,1,3,2,3,1,1,5,4,3,4,5,2,en
23543,Portugal,1,1,3,3,27,2,2,4,,,4,,1,4,,,4,,1,1,0,1,0,0,1,,,3,4,,3,4,4,4,4,,,,,,,,,3,3,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,6,4,6,6,3,6,4,2,1,6,1,1,3,6,1,3,3,1,3,3,3,4,4,5,3,2,4,4,5,5,4,3,3,4,4,4,3,1,1,1,5,1,1,1,1,1,4,4,3,4,4,4,4,4,5,4,4,4,4,4,2,3,4,3,3,3,3,4,2,3,3,4,1,4,1,4,4,5,1,5,5,5,5,5,5,4,5,5,4,5,1,4,2,pt
8669,Germany,1,1,1,2,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
23153,Portugal,1,1,1,4,,2,2,4,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pt
1414,Bangladesh,1,1,1,4,22,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,1,6,1,1,1,1,6,12,12,12,1,1,12,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,2,5,5,5,5,2,1,,1,1,,2,,2,2,1,4,1,5,5,5,5,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
19496,Oman,1,2,2,2,34,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,1,4,4,1,1,1,10,10,8,10,1,3,,10,3,5,5,3,2,2,2,4,2,2,3,3,3,5,2,3,5,2,3,2,4,1,5,,1,1,2,,3,3,3,,4,5,5,5,5,5,5,5,5,5,2,5,3,3,3,5,3,3,3,4,2,5,1,3,3,3,3,5,2,4,1,2,3,4,4,5,3,5,3,4,4,3,2,en
2692,Bosnia and Herzegovina,1,1,1,2,20,1,2,3,4,4,5,4,1,3,4,4,5,5,1,0,0,1,0,0,3,4,4,4,5,5,3,5,5,4,4,4,3,3,3,3,3,3,3,1,5,1,4,5,5,5,5,5,5,2,5,3,5,5,5,4,4,5,4,4,4,4,6,4,6,6,2,5,4,1,1,6,1,3,1,1,1,3,3,12,3,3,3,1,1,1,1,4,1,3,2,2,2,1,3,3,3,1,2,2,3,3,4,1,1,1,,,3,5,5,,,,4,4,4,4,4,3,5,4,2,5,4,4,3,4,2,1,3,3,1,4,1,3,1,3,4,5,3,4,4,4,2,1,4,3,1,4,3,3,1,3,2,en
27567,Sri Lanka,1,1,1,4,22,2,2,4,5,3,4,4,1,4,2,3,4,4,1,0,0,1,0,0,3,4,4,4,4,4,4,4,4,5,4,4,,,,,4,,,1,4,2,4,4,4,5,5,5,5,1,5,5,5,4,4,5,5,5,5,5,5,5,6,1,5,1,5,1,5,1,1,6,1,1,7,7,1,1,7,1,2,5,1,3,3,3,1,3,3,4,2,3,2,2,1,1,3,1,4,5,4,5,,1,2,,2,,5,5,,4,4,4,,5,5,,4,5,5,5,1,3,1,3,3,1,3,5,5,,1,4,5,5,3,2,1,3,1,3,3,1,3,5,5,,1,4,5,5,3,2,1,en
21382,Poland,1,2,2,1,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en
2258,Bangladesh,1,1,1,4,23,1,2,,,,,,5,,,,,,5,0,0,0,0,1,4,,,,,,1,3,3,1,,1,1,1,,1,4,,1,4,2,4,3,2,2,3,1,1,1,1,1,5,5,3,1,4,4,4,2,4,2,2,4,4,6,6,1,2,1,1,1,1,1,1,6,6,1,1,3,10,3,5,1,3,2,2,1,3,3,3,3,3,2,4,5,4,5,1,1,1,5,3,,1,2,,2,,1,2,,2,5,5,5,4,5,1,1,1,4,4,1,3,3,1,2,5,2,4,4,2,1,4,3,5,1,3,4,3,1,1,2,1,1,5,5,1,4,5,4,5,1,2,2,en
